ID,NetID,Name,Password,Major,GPA,AwardBalance,Extracurriculars
391515fb-f7cc-4386-8fc1-2b189b11a01d,tstudent1,Test Student,password123,Computer Science,3.6,0.0,coding;volunteering;robotics
a4042e58-4729-4f59-aaff-9344b2b0931d,tstudent1,Test Student,password123,Computer Science,3.6,0.0,coding;robotics;volunteering
504ce7de-9c4c-4046-833e-eba4a7bf79c6,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;robotics;volunteering
1361c41f-dc1a-4b6b-8930-eb6fe75f0e9e,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
b22baf74-e183-43b1-8279-959d7ba952b0,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
c87f2147-50d6-4677-aa43-0d94dcada2eb,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
430a4ce9-e74d-4758-8c0e-bb153e503482,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;programming;research
3cafcf31-9ecb-4a60-ade4-314551bfde0b,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
b4d1940b-d0f8-4cb5-8403-f9d624ea074d,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;robotics;volunteering
f9104cd4-d757-4f37-a903-adadbfff646e,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;programming;research
42d7ef3f-02a2-481c-ac0c-9d01b892c637,bsmith002,Bob Smith,9878d344400c00f8bab1a4ba1a3488b3ace88aea983e3d94ba1c781e09ba32bb,engineering,3.6,0.0,community service;leadership;robotics
6f0cfb75-9cbf-4804-b184-7f5b65ae3c27,tstudent1,Test Student,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,Computer Science,3.6,0.0,coding;volunteering;robotics
754e34f8-c657-40ac-9507-60bca624c59a,jdoe001,Jane Doe,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,computer science,3.8,0.0,ai;programming;research
